"HP-UX (PA_RISC2.0W)","1"
"HP-UX (ia64)","1"
"Linux (e2k)","1"
"Linux (s390)","1"
"Linux (zArch_64)","1"
"NetBSD (amd64)","1"
"Windows Server 2022 (aarch64)","1"
"Windows XP (amd64)","1"
"DragonFlyBSD (amd64)","2"
"NONSTOP_KERNEL (IA64N)","3"
"NONSTOP_KERNEL (amd64)","3"
"OpenBSD (aarch64)","3"
"Windows Server 2016 Standard (amd64)","4"
"OS/400 (ppc)","6"
"HP-UX (PA_RISC2.0)","7"
"Linux (ppc)","7"
"Windows 2003 (amd64)","7"
"OS400 (ppc64)","8"
"NONSTOP_KERNEL (x86_64N)","9"
"Windows Server 2025 (amd64)","9"
"FreeBSD (aarch64)","13"
"Linux (x86)","15"
"Windows Server 2008 (amd64)","16"
"Windows Vista (x86)","19"
"FreeBSD (i386)","21"
"Windows 8 (x86)","21"
"OpenBSD (amd64)","22"
"Windows Server version 2009 (amd64)","26"
"AIX (ppc)","29"
"HP-UX (IA64W)","32"
"SunOS (sparc)","36"
"Windows 11 (aarch64)","36"
"Linux (ppc64)","39"
"Windows 8 (amd64)","40"
"Linux (mips64el)","42"
"Windows Server 2008 (x86)","46"
"SunOS (x86)","50"
"Linux (sw64)","60"
"Linux (riscv64)","62"
"Windows XP (x86)","72"
"Windows 2003 (x86)","79"
"OS/400 (ppc64)","102"
"Linux (loongarch64)","124"
"Windows Server 2012 (x86)","145"
"Windows 8.1 (x86)","149"
"HP-UX (IA64N)","159"
"Windows Server 2022 (x86)","236"
"Windows 8.1 (amd64)","257"
"z/OS (s390x)","257"
"SunOS (amd64)","261"
"Windows 11 (x86)","281"
"Linux (s390x)","290"
"Windows NT (unknown) (x86)","350"
"Windows Server 2012 (amd64)","437"
"Windows Server 2008 R2 (x86)","444"
"Linux (ppc64le)","494"
"FreeBSD (amd64)","567"
"SunOS (sparcv9)","582"
"Windows 7 (x86)","754"
"Windows NT (unknown) (amd64)","906"
"Windows Server 2012 R2 (x86)","1137"
"Windows Server 2019 (x86)","1284"
"AIX (ppc64)","1344"
"Windows Server 2008 R2 (amd64)","1477"
"Windows 7 (amd64)","1952"
"Linux (arm)","2050"
"Windows Server 2016 (x86)","2280"
"Linux (i386)","2598"
"Windows 10 (x86)","3552"
"Windows Server 2012 R2 (amd64)","6368"
"Mac OS X (aarch64)","13589"
"Linux (aarch64)","14651"
"Mac OS X (x86_64)","15178"
"Windows Server 2022 (amd64)","17781"
"Windows 11 (amd64)","20927"
"Windows Server 2016 (amd64)","25809"
"Windows Server 2019 (amd64)","34405"
"Windows 10 (amd64)","60893"
"N/A","359125"
"Linux (amd64)","592091"
